#,Segment,Company name,Audit status,HQ country,Market,Segment,Why wrist = must,Pain Score,Funding / revenue,Funding score,Website,E-com type,Last media mention = title + source link with anchor,Coverage score,Priority score,Notes / flags
189.0,Corporate wellness & Remote Patient Monitoring,Doccla,Qualified,United Kingdom,US/EU active or B2B platform indicated,Corporate wellness & RPM — Virtual wards,"Doccla has launched a wrist-worn device for passive vital sign monitoring that streams data to their clinical dashboard. Used specifically for monitoring acutely unwell patients (e.g., Cytokine Release Syndrome). Confirmed via LinkedIn post from Doccla's team and TechCrunch coverage showing 'finger to wrist-worn monitor' imagery.",2.0,"Independent (private, Series B)
 NOT FOUND",2.0,https://www.doccla.com,B2B,"Doccla virtual care: 61% NHS bed-day reduction with AI — Resultsense, May 8, 2026 — https://www.resultsense.com/news/2026-05-08-doccla-nhs-virtual-care-ai/",2.0,6.0,"funding: $72.5M raised (Series B: $46M, Sep 2024) Original workbook verified the row; wrist-worn device evidence is present. Coverage score adjusted 3→2 under revised Tier 1 rules. Original status: Verified."
190.0,Corporate wellness & Remote Patient Monitoring,Masimo,Qualified,United States,US/EU active or B2B platform indicated,Corporate wellness & RPM — Medical watch + clinician portal,"Masimo W1 Medical Watch is a key RPM wrist device (FDA-cleared for SpO2, HR, RR, PVi). However, Masimo's core business is hospital pulse oximetry sensors and monitors — wrist is growing but not the primary revenue driver.",2.0,"None (public: NASDAQ MASI)
 https://stockanalysis.com/stocks/masi/revenue/",3.0,https://www.masimo.com,B2B,"Masimo Reports Fourth Quarter and Full-Year 2024 Financial Results — BusinessWire, February 25, 2025",1.0,6.0,Large public company. W1 watch + SafetyNet platform for RPM. Consumer W1 Sport also available. Strong balance sheet. Wrist RPM is a strategic growth area but not the dominant product line. Wrist-device relevance is core and B2B/DTC platform evidence is present. Coverage score adjusted 3→1 under revised Tier 1 rules.
191.0,Corporate wellness & Remote Patient Monitoring,Withings Health Solutions,Qualified,France,Global / US-EU B2B presence indicated,Corporate wellness & RPM — B2B RPM + connected watch,"ScanWatch (hybrid smartwatch with ECG, SpO2, activity tracking) is a key B2B RPM device, but Withings also sells scales, BP cuffs, and sleep mats. Wrist is important but not the sole RPM device.",2.0,"Withings SA (private, independent since 2018 buyback from Nokia) (~$62.5M estimated)
 ~$62.5M estimated
 https://growjo.com/company/Withings",2.0,https://www.withings.com,B2B+B2C,"The Buyback Pays Off: Withings Confirms Full-Year Profitability for 2025 Driven by US Market Dominance — PRNewswire, June 30, 2026",2.0,6.0,"B2B division (Health Solutions) serves RPM providers, pharma, insurers. 66% of 2025 revenue from FDA-cleared medical devices. Profitable since 2025. Parent company revenue is private estimate. Wrist-device relevance is core and B2B/DTC platform evidence is present."
192.0,Smart jewelry & tech accessories,Honor,Qualified,China (Shenzhen),Global / online marketplace,Smart jewelry & tech accessories — Smart bracelets + health sensors,Honor Watch and Band series are key product lines but secondary to smartphones. Honor Watch 5 Ultra launched at MWC 2025.,2.0,NOT FOUND (private company; est. $10-15B based on market share),3.0,https://www.honor.com/global/wearables/,"DTC, Retail, Marketplace","HONOR Watch 6 Launches with 35-Day Battery Life, AI Health — Gizmochina, Jun 2026",2.0,7.0,"Scores recalculated from original priority 8: pain 2->2, funding 3->3, coverage 3->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Former Huawei subsidiary, sold Nov 2020. Now independent with state backing. Strong brand in China/Asia."
193.0,Smart jewelry & tech accessories,Medical Guardian,Qualified,USA,US,Smart jewelry & tech accessories — Senior safety smartwatch,Smartwatch medical alert devices are a key product category alongside pendants and base stations. Acquired MobileHelp (2024). Expanding into RPM with cellular-connected devices. Wrist is an important but not sole form factor.,2.0,https://www.cbinsights.com/company/medical-guardian/financials,3.0,https://www.medicalguardian.com,B2C,"Medical Guardian Expands Remote Monitoring to Strengthen Chronic Disease Management — PRNewswire, April 1, 2025",2.0,7.0,"Scores recalculated from original priority 6: pain 2->2, funding 2->3, coverage 2->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Top-rated by Forbes, Consumer Reports, NCOA. 600K+ families. $100M PE funding (2021). Acquired MobileHelp in 2024. Launched RPM devices Q1 2025. CEO presented at Security Investor Conference 2026. Strong and growing wrist device focus."
194.0,Smart jewelry & tech accessories,OnePlus,Qualified,China (Shenzhen),Global / online marketplace,Smart jewelry & tech accessories — Stylish wrist wellness,"OnePlus Watch 3/4 are flagship Wear OS smartwatches with military-grade durability, dual-engine architecture. Wrist wearables are a secondary premium category.",2.0,"Part of BBK Group (est. $50B+ total)
 https://electroiq.com/stats/oppo-statistics/",3.0,https://www.oneplus.com/us/store/wearables,"DTC, Retail, Marketplace","OnePlus Watch 3 Launches with 5-Day Battery, Wear OS for $329 — 9to5Google, Feb 2025",2.0,7.0,"Scores recalculated from original priority 8: pain 2->2, funding 3->3, coverage 3->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Related BBK-family brand retained separately because the product brand and target account are distinct. OnePlus Watch 4 launched with MIL-STD-810H, titanium body, Wear OS 6. Co-develops watch platform with OPPO."
195.0,Smart jewelry & tech accessories,OPPO,Qualified,China (Dongguan),Global / online marketplace,Smart jewelry & tech accessories — Smart bracelets + health sensors,"OPPO Watch X series is a premium Wear OS smartwatch line with ECG, SpO2, GPS. Wrist wearables are a growing but secondary category vs smartphones.",2.0,"~$35B (OPPO standalone, 2024 est.); BBK Group est. $50B+
 https://electroiq.com/stats/oppo-statistics/",3.0,https://www.oppo.com,"DTC, Retail, Marketplace","OPPO Introduces Watch X2: Next-Level Smartwatch with ECG, 16-Day Battery — OPPO Press Room, Feb 2025",2.0,7.0,"Scores recalculated from original priority 8: pain 2->2, funding 3->3, coverage 3->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Related BBK-family brand retained separately because the product brand and target account are distinct. Part of BBK Group alongside vivo, OnePlus, realme. Watch X2 co-launched with OnePlus Watch 3 (same platform). Ships 25M+ smartphones quarterly."
196.0,Smart jewelry & tech accessories,realme,Qualified,China (Shenzhen),Global / online marketplace,Smart jewelry & tech accessories — Smart bracelets + health sensors,"Realme Watch 5 is a budget smartwatch with GNSS, AMOLED, SpO2. Watches are a value-add accessory category.",2.0,"~₹19,200 crore (~$2.3B, FY2024)
 https://electroiq.com/stats/realme-statistics/",3.0,https://www.realme.com/global/realme-watch,"DTC, Marketplace (Flipkart, Amazon)","Realme Watch 5 Lands with Apple Ultra Vibes, 14-Day Battery — Gadgets & Wearables, Sep 2025",2.0,7.0,"Scores recalculated from original priority 6: pain 2->2, funding 2->3, coverage 2->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Related BBK-family brand retained separately because the product brand and target account are distinct. Budget/value brand. Watch 5 launched Sep 2025 after 2-year gap. Strong India presence. Revenue declining 3.3% YoY."
197.0,Smart jewelry & tech accessories,Bark Technologies,Qualified,USA,US,Smart jewelry & tech accessories — Kids safety smartwatch,"Bark Watch launched Dec 2024 — a kid's smartwatch with text monitoring, location tracking, and contact management. However, core business is AI-powered parental control software (text/social media monitoring). Wrist device is a newer, growing but secondary product line.",2.0,https://www.crunchbase.com/organization/bark-technologies/financial_details,2.0,https://www.bark.us,B2C,"Bark Technologies Announces Launch of Bark Watch for Kids — Nowadais, December 4, 2024",2.0,6.0,"Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Founded 2015 in Atlanta. Raised $67M total (Series C: $30M led by Kayne Partners). AI-powered parental monitoring across texts, social media, email. Bark Phone + Bark Watch hardware expansion. Talkspace mental health partnership. Strong brand in online child safety."
198.0,Smart jewelry & tech accessories,Bellabeat,Qualified,USA / Croatia,US,Smart jewelry & tech accessories — Women's health smart jewelry,"Ivy smart bracelet is a wrist-worn health tracker for women (biometrics, cycle tracking). Leaf can be worn as bracelet, pendant, or clip — wrist is one of multiple wear options. Women's health wearable company with multi-form-factor approach.",2.0,https://getlatka.com/companies/bellabeat.com,2.0,https://bellabeat.com,B2C,"Bellabeat's Ivy bracelet tries to do it all — but it can only do some — TechCrunch, 2021",2.0,6.0,"Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Y Combinator alum (W14). Founded by Urška Sršen. Bootstrapped to ~$16.1M ARR. $48.3M valuation. Products: Leaf (pendant/bracelet/clip), Ivy (bracelet), Shell (pregnancy tracker), Balance (smart scale). Strong DTC women's health brand. 66 employees."
199.0,Smart jewelry & tech accessories,totwoo,Qualified,China / Italy,Global / Asia-led online sales; US/EU to verify,Smart jewelry & tech accessories — Connected fashion jewelry,"Smart touch bracelets for couples — wrist-worn jewelry that connects long-distance partners via light and vibration. Bracelets are exclusively wrist-worn. Niche smart jewelry use case (romantic connection), not health/safety critical.",2.0,https://www.signalhire.com/companies/totwoo-smart-jewelry,2.0,https://totwoo.com,B2C,"TOTWOO — Smart connected jewelry company profile — Tracxn, May 2026",2.0,6.0,"Original status: Seed-list exception. Scores recalculated from original priority 4: pain 2->2, funding 1->2, coverage 1->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Founded 2015 in Beijing by Jieming Wang and Marco Dal Maso (Milan design). Raised $4.65M over 2 rounds from 3 investors. Early-stage. Niche product: long-distance couple bracelets. Limited scale. Fashion-tech crossover brand with TikTok following (131K likes)."
200.0,Smart jewelry & tech accessories,Bay Alarm Medical,Qualified,USA,US,Smart jewelry & tech accessories — Senior safety smartwatch,"SOS Smartwatch is a key product — wrist-worn medical alert with 4G LTE, GPS, and fall detection. However, also offers in-home base stations and pendants. Wrist is a growing but not exclusive form factor. Backed by large stable parent.",2.0,"N/A (large private security company)
 https://www.glassdoor.com/Overview/Working-at-Bay-Alarm-Medical-EI_IE859249.11,28.htm",1.0,https://www.bayalarmmedical.com,B2C,"Safe, Stylish, and Smart: Bay Alarm Medical's New Medical Alert Watch — Bay Alarm Medical Blog, 2025",2.0,5.0,"Scores recalculated from original priority 7: pain 2->2, funding 3->1, coverage 2->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Division of Bay Alarm Company (founded 1946). America's #1 rated medical alert provider. Plans from $19.95/mo. SOS Smartwatch launched as key growth product. Parent company provides financial stability and infrastructure."
201.0,Smart jewelry & tech accessories,Safety by Cilia,Qualified,Sweden (Stockholm),EU / UK / EEA,Smart jewelry & tech accessories — Safety bracelet,"Safety by Cilia produces a discreet alarm bracelet where technology is integrated into the clasp on the underside; worn on wrist; designed to look like jewelry, not a safety device",2.0,"NOT FOUND (private, pre-revenue/early stage)",1.0,https://safetybycilia.com,DTC,"Safety by Cilia — Innovation creating safety, Sigma Connectivity, Oct 30, 2025; officially launched after SEK 30M+ investment",2.0,5.0,"Scores recalculated from original priority 6: pain 2->2, funding 2->1, coverage 2->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Founded by Cissi Nilsson in Stockholm after surviving a drugging incident at 19. Over SEK 30M (~.8M) raised. 4 years of development with Sigma Connectivity. Launched late 2025. Jewelry-like bracelet with hidden personal alarm in clasp. Partnered with Partille World Cup. Nominated for eQualizer of the Year. Strong social mission — empowering women safety."
202.0,Smart jewelry & tech accessories,vivo,Qualified,China (Dongguan),Global / online marketplace,Smart jewelry & tech accessories — Stylish wrist wellness,"vivo Watch GT and Watch 5 series are growing wearable lines with eSIM, AMOLED, AI coach. Wrist devices are secondary to smartphones but expanding.",2.0,"Part of BBK Group (est. $50B+ total)
 NOT FOUND (private subsidiary)",1.0,https://www.vivo.com,"DTC, Retail, Marketplace","Vivo Watch 5 Launches with eSIM, 1.43in AMOLED, 22-Day Battery — Gizmochina, Jun 2025",2.0,5.0,"Scores recalculated from original priority 7: pain 2->2, funding 3->1, coverage 2->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Related BBK-family brand retained separately because the product brand and target account are distinct. BBK group brand. Watch 5 launched with eSIM, iOS compatibility. Watch GT 2 launched in Europe Jun 2026."
203.0,Smart jewelry & tech accessories,Watchmark,Qualified,UK (London) / Poland,EU / UK / EEA,Smart jewelry & tech accessories — Kids GPS watch,"Watchmark produces consumer smartwatches (G-WEAR, GPS Watch, Maverick, Active Z1, WM18) worn on the wrist; features include health tracking, sports modes, and GPS; sold through major European retailers like Decathlon",2.0,"NOT FOUND (private, 11-50 employees)",1.0,https://www.watchmark.com,"Retail (Decathlon, Saturn), DTC","Smartwatch Watchmark G-WEAR at Decathlon — active retail listing, 2025-2026",2.0,5.0,"Scores recalculated from original priority 5: pain 2->2, funding 2->1, coverage 1->2. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. European smartwatch manufacturer. Founded 2007. HQ London, operations also in Poland (VAT PL9241339868). 11-50 employees. Self-owned. Products sold through Decathlon, Saturn, and other European retailers. Consumer-grade smartwatches with health/sports features. Not specifically focused on safety or medical alert — general consumer smartwatch brand. VAT: DE353646355."
204.0,Smart jewelry & tech accessories,Flare,Qualified,"USA (Boston, MA)",US,Smart jewelry & tech accessories — Safety bracelet,Flare is a smart safety bracelet worn on the wrist with a hidden button; 30+ styles available; sends GPS location to emergency contacts and optionally 911 with a press; designed to look like jewelry,2.0,"~M estimated (RocketReach, 2025)
 https://rocketreach.co/flare-profile_b4b9d56afb0eb31f",1.0,https://getflare.com,DTC,"Flare Review — PCMag, Nov 30, 2021",1.0,4.0,"Scores recalculated from original priority 6: pain 2->2, funding 2->1, coverage 2->1. Audit: qualifies under revised rules; funding/revenue is scored but not used as a hard exclusion. Boston-based personal safety company. Seed-funded via Crunchbase. 12 employees. Smart bracelet combines jewelry aesthetics with hidden SOS button. Features: fake phone call trigger, GPS location sharing, 911 alert. IPX8 waterproof (Flare 2.0). Reviewed by PCMag and BestProducts."
205.0,Medical wearables,Sotera Digital Health (Sotera Wireless),Needs verification,"USA (San Diego, CA)","Global (hospital inpatient, continuous monitoring)",Wrist-worn continuous vital signs monitor (ViSi Mobile),ViSi Mobile uses wrist-mounted continuous non-invasive blood pressure (cNIBP) sensors requiring precise positioning over the radial artery; incorrect wrist placement yields erroneous BP readings.,2.0,"Subsidiary of Foxconn Technology Group (TW:2354, Taiwan Stock Exchange). Foxconn acquired Sotera Wireless in June 2022. Foxconn annual revenue $200B+.",2.0,https://soteradigitalhealth.com,B2B,"Sotera, Foxconn Agree to Stop Selling Vital Signs Products — Bloomberg Law — May 24, 2024 — https://news.bloomberglaw.com/ip-law/sotera-foxconn-agree-to-stop-selling-vital-signs-products",2.0,6.0,FILTER PASS: Subsidiary of Foxconn (public TW:2354). CRITICAL CAVEAT: Legal consent order May 2024 to stop making and selling ViSi Mobile products due to IP dispute. FDA-cleared cNIBP wrist monitor. Product future uncertain — may not be commercially available.
206.0,Medical wearables,Health Gauge (subsidiary of AI/ML Innovations),Needs verification,"Canada (Edmonton, AB)","North America (digital health, hypertension management)",Cuffless wrist BP monitoring smartwatch (Phoenix),Phoenix smart watch uses PPG+ECG sensors requiring consistent wrist skin contact for AI-based cuffless BP estimation; loose fit introduces motion artifacts and signal noise that degrade BP algorithm accuracy.,2.0,"Majority-owned subsidiary of AI/ML Innovations Inc. (CSE:AIML, OTCQB:AIMLF), publicly traded on Canadian Securities Exchange. Health Gauge independently raised only ~$300K. Parent AIML completed $1.55M private placement in 2024.",2.0,https://www.healthgauge.com,B2B / D2C,"Health Gauge Concludes Successful Blood Pressure Validation Study with University of Alberta — Access Newswire — Mar 6, 2023 — https://www.accessnewswire.com/newsroom/en/publishing-and-media/ai/ml-innovations-health-gauge-concludes-successful-blood-pressure-validation-s-741977",1.0,5.0,"FILTER PASS: Subsidiary of AI/ML Innovations (CSE:AIML), a public company. Patented AI-based cuffless BP estimation using PPG+ECG neural networks. Parent is micro-cap on Canadian Securities Exchange. Limited commercial traction. BP validation study completed but no FDA clearance yet. Minimal media coverage."
207.0,Sports & outdoor wearables,Casio / G-SHOCK MOVE,Needs verification,Japan (Tokyo),Global / US-EU online or retail presence indicated,Sports & outdoor — Rugged training watch; Public watch company,"G-SHOCK MOVE DW-H5600 features optical heart rate sensor and activity tracking requiring skin contact; however rugged G-SHOCK design philosophy may prioritize durability over tight sensor fit; Casio core business is traditional watches (G-SHOCK, Edifice, Pro Trek) where loose fit is standard; only G-SHOCK MOVE sub-line has wrist sensors; majority of timepiece revenue comes from non-sensor traditional watches",2.0,"261.7B yen (~.73B, FY2025 ending March 2025)
 https://world.casio.com/content/dam/casio/global/corporate/en/ir/library/results/2025/results25_all.pdf
 261.7B yen (~.73B, FY2025)
 https://world.casio.com/content/dam/casio/global/corporate/en/ir/library/results/2025/results25_all.pdf",3.0,"https://www.casio.com/us/watches/gshock/
 https://www.casio.com","DTC, Retail","I finally found a smartwatch for people who actually hate smartwatches — Android Police, Feb 9, 2026
 https://www.androidpolice.com/g-shock-move-dwh5600-long-term/
 Casio Computer H1 Profit More Than Doubles On Lower One-time Charges — Finanznachrichten, Nov 2025
 https://www.finanznachrichten.de/nachrichten-2025-11/66907707-casio-computer-h1-profit-more-than-doubles-on-lower-one-time-charges-020.htm",2.0,7.0,"Casio fitness-focused G-SHOCK sub-line. DW-H5600 model features heart rate monitoring, activity tracking, solar-assisted charging, and Bluetooth. Maintains G-SHOCK iconic rugged design. Niche product bridging traditional watch fans into smart wearables.
 Public Japanese electronics company. FY2025 revenue 261.7B yen (-2.6% YoY). Timepiece segment: 166.1B yen (63% of revenue). Other segments: Consumer, System Equipment. Iconic G-SHOCK brand. Revenue includes calculators, electronic musical instruments, and system equipment.
 Merged duplicate/related rows: 14 G-SHOCK MOVE, 34 Casio Computer Co.
 Original status: Seed-list exception.
 Wrist-must-have logic is weaker than dedicated sensor, dive, golf GPS, or medical use cases."
208.0,Sports & outdoor wearables,DOOGEE,Needs verification,China (Shenzhen),Global / US-EU online or retail presence indicated,Sports & outdoor — Rugged outdoor smartwatch,"Wrist-based HR, SpO2, GPS and activity sensors require secure skin contact; poor fit can create signal gaps and inaccurate sports or health data.",2.0,"NOT FOUND
 https://www.similarweb.com/company/doogee.cc/",1.0,https://www.doogee.com/,"DTC + Marketplace (AliExpress, Amazon)","DOOGEE Showcases AI Devices at MWC 2026 — DOOGEE Blog, March 2026 — https://www.doogee.com/blogs/news/doogee-redefines-exploration-at-mwc-2026-with-visible-ai-and-full-scenario-ecosystem",2.0,5.0,"Original status: Seed-list exception.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule."
209.0,Sports & outdoor wearables,Haylou,Needs verification,China (Dongguan),Global / US-EU online or retail presence indicated,Sports & outdoor — Outdoor GPS smartwatch,"Wrist-based HR, SpO2, GPS and activity sensors require secure skin contact; poor fit can create signal gaps and inaccurate sports or health data.",2.0,"NOT FOUND
 https://www.crunchbase.com/organization/haylou",1.0,https://haylou.com/,"DTC + Marketplace (Amazon, AliExpress)","HAYLOU Watch Hyper Launched with Dual-Band GPS, Offline Maps — Gizmochina, July 2026 — https://www.gizmochina.com/2026/07/09/haylou-watch-hyper-launch-dual-band-gps-offline-maps/",2.0,5.0,"Original status: Seed-list exception.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule.
 Funding score adjusted from 2 to 1 based on stated revenue/funding."
210.0,Sports & outdoor wearables,Nothing / CMF Watch,Needs verification,"United Kingdom (London, sub-brand of Nothing Technology Limited); United Kingdom (London)",Global / US-EU online or retail presence indicated,Sports & outdoor — Fitness smartwatch; Series C consumer-tech,"Wrist-based HR, SpO2, GPS and activity sensors require secure skin contact; poor fit can create signal gaps and inaccurate sports or health data.",2.0,">$500M (2024)
 https://en.wikipedia.org/wiki/Nothing_(company)
 NOT FOUND (private)
 https://en.wikipedia.org/wiki/Nothing_(company)",1.0,"https://us.nothing.tech/collections/cmf
 https://nothing.tech/","DTC + Retail; DTC + Retail (Amazon, carriers)","Meet the new CMF by Nothing lineup (Phone 2 Pro, Buds 2) — Nothing Community, April 2025 — https://nothing.community/d/31617-meet-the-new-cmf-by-nothing-lineup
 Nothing Phone (4a) Pro launches globally — Liliputing, March 2026 — https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lrZzhYVEVCR2w2RHdyMGlWdDN5Z0FQAQ",2.0,5.0,"Merged duplicate/related rows: 13 CMF by Nothing, 20 Nothing Technologies
 Original status: Qualified.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule.
 Funding score adjusted from 3 to 1 based on stated revenue/funding."
211.0,Sports & outdoor wearables,OPPO / OPPO Watch,Needs verification,China (Dongguan),Global / US-EU online or retail presence indicated,Sports & outdoor — Smartwatch company; Outdoor / running smartwatch,"OPPO Watch products (Watch X2, Watch S) feature wrist-based heart rate, SpO2, temperature, and fitness tracking; health sensors require proper fit for accuracy; OPPO Watch X2 and Watch S feature 16-channel heart rate, SpO2, temperature sensors, and Wear OS health tracking; sensor accuracy depends on proper wrist fit",2.0,"NOT FOUND (BBK Electronics is private)
 https://electroiq.com/stats/oppo-statistics/
 OPPO: ~5B (2024 estimated)
 https://electroiq.com/stats/oppo-statistics/",1.0,"https://www.oppo.com
 https://www.oppo.com/en/wearables/","DTC, Retail","Oppo new Watch S could be our first look at next-gen OnePlus watch — Wareable, Oct 17, 2025
 https://www.wareable.com/smartwatches/oppos-watch-s-announcement-price-features-oneplus
 Oppo Watch X2 review: Now this is how you make an Android smartwatch — HardwareZone, May 16, 2025
 https://www.hardwarezone.com.sg/mobile/wearables/oppo-watch-x2-review-now-how-you-make-android-smartwatch",2.0,5.0,"Tier-1 global smartphone manufacturer (~5B revenue, private). Wearables are a growing segment. Watch products share platform with OnePlus Watch. BBK Electronics lineage but operates independently. 5.7% global smartphone market share (2024).
 OPPO smartwatch product line. Runs Wear OS. Recent models: Watch X2 (May 2025), Watch S (Oct 2025). Shares Dual-Engine Architecture with OnePlus Watch. Growing reputation for design and battery life in Android smartwatch space.
 Merged duplicate/related rows: 21 OPPO, 22 OPPO Watch
 Original status: Seed-list exception.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule.
 Funding score adjusted from 3 to 1 based on stated revenue/funding."
212.0,Sports & outdoor wearables,SkyGolf / SkyCaddie,Needs verification,"United States (Ridgeland, Mississippi)",Global / US-EU online or retail presence indicated,Sports & outdoor — Golf watch / shot tracking,Golf GPS watches must stay securely fitted for round tracking and on-wrist usability; poor fit increases returns and unreliable use.,2.0,"NOT FOUND
 https://www.crunchbase.com/organization/skyhawke-technologies",1.0,https://skygolf.com/,DTC + Retail + Amazon,"SkyGolf SkyCaddie PRO 4X named Best Overall Golf GPS Handheld 2025 — MyGolfSpy, 2025 — https://mygolfspy.com/reviews/golf-gps-units/skygolf-skycaddie-pro-4x/",2.0,5.0,"Original status: Seed-list exception.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule."
213.0,Sports & outdoor wearables,Blackview,Needs verification,China (Shenzhen),Global / US-EU online or retail presence indicated,Sports & outdoor — Rugged outdoor smartwatch,"Wrist-based HR, SpO2, GPS and activity sensors require secure skin contact; poor fit can create signal gaps and inaccurate sports or health data.",2.0,"NOT FOUND
 https://www.accio.com/business/blackview",1.0,https://www.blackview.hk/,"DTC + Marketplace (Amazon, AliExpress)","Blackview W80 PRO smartwatch with GPS and ChatGPT — Dzen review, 2025 — https://dzen.ru/video/watch/6870ae2a9e9276777ddd9792",1.0,4.0,"Original status: Seed-list exception.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule."
214.0,Sports & outdoor wearables,KOSPET,Needs verification,China (Shenzhen),Global / US-EU online or retail presence indicated,Sports & outdoor — Rugged GPS smartwatch,"Wrist-based HR, SpO2, GPS and activity sensors require secure skin contact; poor fit can create signal gaps and inaccurate sports or health data.",2.0,"NOT FOUND
 https://tracxn.com/d/companies/kospet/__xy5T8eYuDF-E7v5pJ8GA2wMPC67VPJcrtxN0E4EHkJk",1.0,https://kospet.com/,DTC + Amazon + Marketplace (AliExpress),"KOSPET präsentiert TANK T4 und TANK M4 Premium Smartwatches — Lite-Magazin, October 2025 — https://www.lite-magazin.de/2025/11/kospet-praesentiert-tank-t4-und-tank-m4-premium-smartwatches-fuer-sportler-und-abenteurer/",1.0,4.0,"Original status: Seed-list exception.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule."
215.0,Sports & outdoor wearables,Mibro,Needs verification,"China (Shanghai HQ, Shenzhen sales center)",Global / US-EU online or retail presence indicated,Sports & outdoor — Outdoor GPS smartwatch,"Wrist-based HR, SpO2, GPS and activity sensors require secure skin contact; poor fit can create signal gaps and inaccurate sports or health data.",2.0,"NOT FOUND (private; Xiaomi and Nokia Morningside Capital are investors)
 https://www.mibrofit.com/pages/about-us",1.0,https://www.mibrofit.com/,"DTC + Marketplace (AliExpress, Amazon)","Mibro GS Pro2 fitness smartwatch with padel mode — product listing on mibrofit.com, 2025-2026 — https://www.mibrofit.com/",1.0,4.0,"Original status: Seed-list exception.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule.
 Funding score adjusted from 2 to 1 based on stated revenue/funding."
216.0,Sports & outdoor wearables,Zeblaze,Needs verification,China (Shenzhen),Global / US-EU online or retail presence indicated,Sports & outdoor — Outdoor GPS smartwatch,"Wrist-based HR, SpO2, GPS and activity sensors require secure skin contact; poor fit can create signal gaps and inaccurate sports or health data.",2.0,"NOT FOUND
 https://tracxn.com/d/companies/zeblaze/__gvSPNJ2HPUX4l_Uef9kNlTTNOqOeosYbVcJLJXpd7vQ",1.0,https://www.zeblaze.com/,"DTC + Marketplace (AliExpress, Amazon, eBay)","Zeblaze Stratos 4 GPS Smartwatch 1.43 AMOLED — hotukdeals / YouTube, 2025 — https://www.hotukdeals.com/deals/2025-zeblaze-stratos-4-gps-smartwatch-143-amoled-screen-with-code-zeblaze-choice-store-4865957",1.0,4.0,"Original status: Seed-list exception.
 Funding/revenue data is missing or weak; not a hard exclusion under revised rule."
217.0,Corporate wellness & Remote Patient Monitoring,Clario,Needs verification,United States,US/EU active or B2B platform indicated,Corporate wellness & RPM — Endpoint data + wearables,"Clario deploys wearable data capture technologies (including wrist-worn devices) for clinical trial endpoints. However, wearables are one modality among many — eCOA, medical imaging, cardiac, and respiratory solutions are also major business lines.",2.0,"Thermo Fisher Scientific (acquired March 2026) ($42.88B (Thermo Fisher FY2024))
 $42.88B (Thermo Fisher FY2024)
 https://pr.plus/latest-news/thermo-fisher-clario-acquisition-2025",3.0,https://clario.com,B2B,"Thermo Fisher Completes $8.875 Billion Acquisition of Clario — Applied Clinical Trials, March 24, 2026",2.0,7.0,"Formerly ERT/Bioclinica. Acquired by Thermo Fisher for $8.875B. 4,000 employees, 30,000+ trials supported. Massive scale. Wrist wearables are part of their endpoint technology portfolio but not the sole focus. Potential fit, but wrist measurement criticality is not fully proven. Coverage score adjusted 3→2 under revised Tier 1 rules."
218.0,Corporate wellness & Remote Patient Monitoring,Evinova,Needs verification,Switzerland,US/EU active or B2B platform indicated,Corporate wellness & RPM — Unified trial + RPM,"Unified trial solution supports digital wearables, sensors, and connected medical devices for data collection. Integrates wearables but does not deploy proprietary wrist devices as sole offering.",2.0,"AstraZeneca (launched as separate health-tech business, Nov 2023) ($54.1B (AstraZeneca, FY2024))
 $54.1B (AstraZeneca, FY2024)
 https://prospeo.io/c/evinova-revenue",3.0,https://www.evinova.health/,B2B,"Evinova Announces Strategic Collaborations with Astellas, AstraZeneca and Bristol Myers Squibb — Evinova Press Release, February 18, 2026 — https://evinova.com/press-releases",1.0,6.0,"wrist_device_core=False Wearable/wrist data is referenced, but wrist measurement is indirect or depends on third-party devices. Coverage score adjusted 3→1 under revised Tier 1 rules. Original status: Seed-list exception."
